abuse_email,abuse_phone,admin_name,admin_organization,admin_email,admin_address,admin_phone,admin_fax,billing_name,billing_organization,billing_email,billing_address,billing_phone,billing_fax,registrant_name,registrant_organization,registrant_email,registrant_address,registrant_phone,registrant_fax,registrar_name,registrar_email,registrar_address,registrar_phone,registrar_fax,technical_name,technical_organization,technical_email,technical_address,technical_phone,technical_fax,created_date,updated_date,expires_date,status,nameservers,domain_name
registrar-abuse@netowl.jp,tel:+81.752568553,REDACTED FOR PRIVACY,XSERVER Inc.,REDACTED FOR PRIVACY,"Osaka, Japan",REDACTED FOR PRIVACY,REDACTED FOR PRIVACY,REDACTED FOR PRIVACY,XSERVER Inc.,REDACTED FOR PRIVACY,"Osaka, Japan",REDACTED FOR PRIVACY,REDACTED FOR PRIVACY,REDACTED FOR PRIVACY,,REDACTED FOR PRIVACY,"Osaka, Japan",REDACTED FOR PRIVACY,REDACTED FOR PRIVACY,"Netowl,Inc.",,,,,REDACTED FOR PRIVACY,XSERVER Inc.,REDACTED FOR PRIVACY,"Osaka, Japan",REDACTED FOR PRIVACY,REDACTED FOR PRIVACY,2019-11-18 11:53:33+00:00,2022-10-22 03:17:46+00:00,2023-11-18 23:59:59+00:00,['client transfer prohibited'],"['ns1.xserver.jp', 'ns2.xserver.jp', 'ns3.xserver.jp', 'ns4.xserver.jp', 'ns5.xserver.jp']",infact.press
registrar-abuse@netowl.jp,tel:+81.752568553,REDACTED FOR PRIVACY,XSERVER Inc.,REDACTED FOR PRIVACY,"Osaka, Japan",REDACTED FOR PRIVACY,REDACTED FOR PRIVACY,REDACTED FOR PRIVACY,XSERVER Inc.,REDACTED FOR PRIVACY,"Osaka, Japan",REDACTED FOR PRIVACY,REDACTED FOR PRIVACY,REDACTED FOR PRIVACY,,REDACTED FOR PRIVACY,"Osaka, Japan",REDACTED FOR PRIVACY,REDACTED FOR PRIVACY,"Netowl,Inc.",,,,,REDACTED FOR PRIVACY,XSERVER Inc.,REDACTED FOR PRIVACY,"Osaka, Japan",REDACTED FOR PRIVACY,REDACTED FOR PRIVACY,2019-11-18 11:53:33+00:00,2022-10-22 03:17:46+00:00,2023-11-18 23:59:59+00:00,['client transfer prohibited'],"['ns1.xserver.jp', 'ns2.xserver.jp', 'ns3.xserver.jp', 'ns4.xserver.jp', 'ns5.xserver.jp']",infact.press
registrar-abuse@netowl.jp,tel:+81.752568553,REDACTED FOR PRIVACY,XSERVER Inc.,REDACTED FOR PRIVACY,"Osaka, Japan",REDACTED FOR PRIVACY,REDACTED FOR PRIVACY,REDACTED FOR PRIVACY,XSERVER Inc.,REDACTED FOR PRIVACY,"Osaka, Japan",REDACTED FOR PRIVACY,REDACTED FOR PRIVACY,REDACTED FOR PRIVACY,,REDACTED FOR PRIVACY,"Osaka, Japan",REDACTED FOR PRIVACY,REDACTED FOR PRIVACY,"Netowl,Inc.",,,,,REDACTED FOR PRIVACY,XSERVER Inc.,REDACTED FOR PRIVACY,"Osaka, Japan",REDACTED FOR PRIVACY,REDACTED FOR PRIVACY,2019-11-18 11:53:33+00:00,2022-10-22 03:17:46+00:00,2023-11-18 23:59:59+00:00,['client transfer prohibited'],"['ns1.xserver.jp', 'ns2.xserver.jp', 'ns3.xserver.jp', 'ns4.xserver.jp', 'ns5.xserver.jp']",infact.press
registrar-abuse@netowl.jp,tel:+81.752568553,REDACTED FOR PRIVACY,XSERVER Inc.,REDACTED FOR PRIVACY,"Osaka, Japan",REDACTED FOR PRIVACY,REDACTED FOR PRIVACY,REDACTED FOR PRIVACY,XSERVER Inc.,REDACTED FOR PRIVACY,"Osaka, Japan",REDACTED FOR PRIVACY,REDACTED FOR PRIVACY,REDACTED FOR PRIVACY,,REDACTED FOR PRIVACY,"Osaka, Japan",REDACTED FOR PRIVACY,REDACTED FOR PRIVACY,"Netowl,Inc.",,,,,REDACTED FOR PRIVACY,XSERVER Inc.,REDACTED FOR PRIVACY,"Osaka, Japan",REDACTED FOR PRIVACY,REDACTED FOR PRIVACY,2019-11-18 11:53:33+00:00,2022-10-22 03:17:46+00:00,2023-11-18 23:59:59+00:00,['client transfer prohibited'],"['ns1.xserver.jp', 'ns2.xserver.jp', 'ns3.xserver.jp', 'ns4.xserver.jp', 'ns5.xserver.jp']",infact.press
registrar-abuse@netowl.jp,tel:+81.752568553,REDACTED FOR PRIVACY,XSERVER Inc.,REDACTED FOR PRIVACY,"Osaka, Japan",REDACTED FOR PRIVACY,REDACTED FOR PRIVACY,REDACTED FOR PRIVACY,XSERVER Inc.,REDACTED FOR PRIVACY,"Osaka, Japan",REDACTED FOR PRIVACY,REDACTED FOR PRIVACY,REDACTED FOR PRIVACY,,REDACTED FOR PRIVACY,"Osaka, Japan",REDACTED FOR PRIVACY,REDACTED FOR PRIVACY,"Netowl,Inc.",,,,,REDACTED FOR PRIVACY,XSERVER Inc.,REDACTED FOR PRIVACY,"Osaka, Japan",REDACTED FOR PRIVACY,REDACTED FOR PRIVACY,2019-11-18 11:53:33+00:00,2022-10-22 03:17:46+00:00,2023-11-18 23:59:59+00:00,['client transfer prohibited'],"['ns1.xserver.jp', 'ns2.xserver.jp', 'ns3.xserver.jp', 'ns4.xserver.jp', 'ns5.xserver.jp']",infact.press
registrar-abuse@netowl.jp,tel:+81.752568553,REDACTED FOR PRIVACY,XSERVER Inc.,REDACTED FOR PRIVACY,"Osaka, Japan",REDACTED FOR PRIVACY,REDACTED FOR PRIVACY,REDACTED FOR PRIVACY,XSERVER Inc.,REDACTED FOR PRIVACY,"Osaka, Japan",REDACTED FOR PRIVACY,REDACTED FOR PRIVACY,REDACTED FOR PRIVACY,,REDACTED FOR PRIVACY,"Osaka, Japan",REDACTED FOR PRIVACY,REDACTED FOR PRIVACY,"Netowl,Inc.",,,,,REDACTED FOR PRIVACY,XSERVER Inc.,REDACTED FOR PRIVACY,"Osaka, Japan",REDACTED FOR PRIVACY,REDACTED FOR PRIVACY,2019-11-18 11:53:33+00:00,2022-10-22 03:17:46+00:00,2023-11-18 23:59:59+00:00,['client transfer prohibited'],"['ns1.xserver.jp', 'ns2.xserver.jp', 'ns3.xserver.jp', 'ns4.xserver.jp', 'ns5.xserver.jp']",infact.press
registrar-abuse@netowl.jp,tel:+81.752568553,REDACTED FOR PRIVACY,XSERVER Inc.,REDACTED FOR PRIVACY,"Osaka, Japan",REDACTED FOR PRIVACY,REDACTED FOR PRIVACY,REDACTED FOR PRIVACY,XSERVER Inc.,REDACTED FOR PRIVACY,"Osaka, Japan",REDACTED FOR PRIVACY,REDACTED FOR PRIVACY,REDACTED FOR PRIVACY,,REDACTED FOR PRIVACY,"Osaka, Japan",REDACTED FOR PRIVACY,REDACTED FOR PRIVACY,"Netowl,Inc.",,,,,REDACTED FOR PRIVACY,XSERVER Inc.,REDACTED FOR PRIVACY,"Osaka, Japan",REDACTED FOR PRIVACY,REDACTED FOR PRIVACY,2019-11-18 11:53:33+00:00,2022-10-22 03:17:46+00:00,2023-11-18 23:59:59+00:00,['client transfer prohibited'],"['ns1.xserver.jp', 'ns2.xserver.jp', 'ns3.xserver.jp', 'ns4.xserver.jp', 'ns5.xserver.jp']",infact.press
registrar-abuse@netowl.jp,tel:+81.752568553,REDACTED FOR PRIVACY,XSERVER Inc.,REDACTED FOR PRIVACY,"Osaka, Japan",REDACTED FOR PRIVACY,REDACTED FOR PRIVACY,REDACTED FOR PRIVACY,XSERVER Inc.,REDACTED FOR PRIVACY,"Osaka, Japan",REDACTED FOR PRIVACY,REDACTED FOR PRIVACY,REDACTED FOR PRIVACY,,REDACTED FOR PRIVACY,"Osaka, Japan",REDACTED FOR PRIVACY,REDACTED FOR PRIVACY,"Netowl,Inc.",,,,,REDACTED FOR PRIVACY,XSERVER Inc.,REDACTED FOR PRIVACY,"Osaka, Japan",REDACTED FOR PRIVACY,REDACTED FOR PRIVACY,2019-11-18 11:53:33+00:00,2022-10-22 03:17:46+00:00,2023-11-18 23:59:59+00:00,['client transfer prohibited'],"['ns1.xserver.jp', 'ns2.xserver.jp', 'ns3.xserver.jp', 'ns4.xserver.jp', 'ns5.xserver.jp']",infact.press
registrar-abuse@netowl.jp,tel:+81.752568553,REDACTED FOR PRIVACY,XSERVER Inc.,REDACTED FOR PRIVACY,"Osaka, Japan",REDACTED FOR PRIVACY,REDACTED FOR PRIVACY,REDACTED FOR PRIVACY,XSERVER Inc.,REDACTED FOR PRIVACY,"Osaka, Japan",REDACTED FOR PRIVACY,REDACTED FOR PRIVACY,REDACTED FOR PRIVACY,,REDACTED FOR PRIVACY,"Osaka, Japan",REDACTED FOR PRIVACY,REDACTED FOR PRIVACY,"Netowl,Inc.",,,,,REDACTED FOR PRIVACY,XSERVER Inc.,REDACTED FOR PRIVACY,"Osaka, Japan",REDACTED FOR PRIVACY,REDACTED FOR PRIVACY,2019-11-18 11:53:33+00:00,2022-10-22 03:17:46+00:00,2023-11-18 23:59:59+00:00,['client transfer prohibited'],"['ns1.xserver.jp', 'ns2.xserver.jp', 'ns3.xserver.jp', 'ns4.xserver.jp', 'ns5.xserver.jp']",infact.press
registrar-abuse@netowl.jp,tel:+81.752568553,REDACTED FOR PRIVACY,XSERVER Inc.,REDACTED FOR PRIVACY,"Osaka, Japan",REDACTED FOR PRIVACY,REDACTED FOR PRIVACY,REDACTED FOR PRIVACY,XSERVER Inc.,REDACTED FOR PRIVACY,"Osaka, Japan",REDACTED FOR PRIVACY,REDACTED FOR PRIVACY,REDACTED FOR PRIVACY,,REDACTED FOR PRIVACY,"Osaka, Japan",REDACTED FOR PRIVACY,REDACTED FOR PRIVACY,"Netowl,Inc.",,,,,REDACTED FOR PRIVACY,XSERVER Inc.,REDACTED FOR PRIVACY,"Osaka, Japan",REDACTED FOR PRIVACY,REDACTED FOR PRIVACY,2019-11-18 11:53:33+00:00,2022-10-22 03:17:46+00:00,2023-11-18 23:59:59+00:00,['client transfer prohibited'],"['ns1.xserver.jp', 'ns2.xserver.jp', 'ns3.xserver.jp', 'ns4.xserver.jp', 'ns5.xserver.jp']",infact.press
